hour,time_days,external_temp_C,ground_temp_C,water_temp_C,sunlight_W,Q_walls_W,Q_ground_W,Q_sun_W,Q_total_W,T_internal_C
23494,978.9166666666666,10.56987298107902,13.360769515458964,17.62202794741006,2.0,-71329.2193816414,-2103.117819658603,75.0,-73357.33720129999,18.0
23495,978.9583333333334,10.070370868555056,13.240889008453212,17.62084156020342,2.0,-76124.43966187145,-2157.4636495012105,75.0,-78206.90331137266,18.0
23496,979.0,8.3,11.9,17.61965271859024,2.0,-93119.99999999999,-2765.333333333333,75.0,-95810.33333333331,18.0
23497,979.0416666666666,8.512963585691935,11.963037221364813,17.618461423182126,2.0,-91075.54957735742,-2736.756459647952,75.0,-93737.30603700537,18.0
23498,979.0833333333334,9.137341226347978,12.147853002999002,17.617267674591957,2.0,-85081.52422705942,-2652.9733053071195,75.0,-87659.49753236654,18.0
23499,979.125,10.130582617581869,12.441852454804234,17.61607147343387,2.0,-75546.40687121406,-2519.6935538220805,75.0,-77991.10042503614,18.0
23500,979.1666666666666,11.424999999998263,12.824999999999486,17.614872820323235,2.0,-63120.00000001666,-2346.0000000002333,75.0,-65391.000000016895,18.0
23501,979.2083333333334,12.93238096810839,13.271184766560083,17.613671715876784,2.0,-48649.14270615946,-2143.7295724927626,75.0,-50717.87227865222,18.0
23502,979.25,14.550000000000233,13.75000000000007,17.612468160712343,2.0,-33119.99999999776,-1926.6666666666354,75.0,-34971.666666664394,18.0
23503,979.2916666666666,16.16761903188657,14.228815233438425,17.611262155449165,2.0,-17590.857293888927,-1709.6037608412473,75.0,-19225.461054730175,18.0
23504,979.3333333333334,17.67499999999722,14.674999999999176,17.610053700707663,2.0,-3120.000000026698,-1507.3333333337066,75.0,-4552.333333360405,18.0
23505,979.375,18.96941738241444,15.058147545194675,17.608842797109542,2.0,9306.406871178639,-1333.6397795117475,75.0,8047.767091666891,18.00309349129187
23506,979.4166666666666,19.962658773649412,15.352146997000226,17.60762944527776,2.0,18811.826710632395,-1201.7624107455458,75.0,17685.06429988685,18.009891475351893
23507,979.4583333333334,20.587036414306716,15.536962778634788,17.60641364583652,2.0,24740.591413966307,-1121.061009178421,75.0,23694.530404787885,18.018999445629525
23508,979.5,20.8,15.6,17.605195399411368,2.0,26697.605321956566,-1096.6130820187184,75.0,25675.99223993785,18.0288690725086
23509,979.5416666666666,20.587036414307534,15.53696277863503,17.603974706628946,2.0,24558.406481269776,-1129.6641865560182,75.0,23503.742294713757,18.037903705505173
23510,979.5833333333334,19.962658773653832,15.352146997001533,17.602751568117334,2.0,18477.64865422713,-1217.5430411883167,75.0,17335.105613038813,18.044567168506376
23511,979.625,18.969417382416673,15.058147545195334,17.60152598450575,2.0,8878.562053538848,-1353.8435625676723,75.0,7599.718490971176,18.04748843383435
23512,979.6666666666666,17.67500000000487,14.675000000001441,17.60029795642472,2.0,-3575.888964762987,-1528.8614233375852,75.0,-5029.750388100572,18.045555041770605
23513,979.7083333333334,16.16761903188962,14.228815233439326,17.599067484506,2.0,-18028.18569485747,-1730.2553797768467,75.0,-19683.441074634316,18.037988899154286
23514,979.75,14.550000000003388,13.750000000001002,17.597834569382634,2.0,-33484.69343184862,-1943.8883009494887,75.0,-35353.581732798106,18.02439929150521
