hour,time_days,external_temp_C,ground_temp_C,water_temp_C,sunlight_W,Q_walls_W,Q_ground_W,Q_sun_W,Q_total_W,Q_heat_demand_W
1713,71.375,8.4,7.007142857142857,8.869059468055847,83.30882354599983,-92160.0,-4983.4285714285725,83.30882354599983,-97060.11974788258,97060.11974788258
1714,71.41666666666667,9.435276180410083,7.007142857142857,8.869059468055847,102.03205437963015,-82221.3486680632,-4983.4285714285725,102.03205437963015,-87102.74518511216,87102.74518511216
1715,71.45833333333333,10.4,7.007142857142857,8.869059468055847,113.80196932323099,-72960.0,-4983.4285714285725,113.80196932323099,-77829.62660210535,77829.62660210535
1716,71.5,11.22842712474619,7.007142857142857,8.869059468055847,117.81646812410001,-65007.099602436574,-4983.4285714285725,117.81646812410001,-69872.71170574104,69872.71170574104
1717,71.54166666666667,11.864101615137756,7.007142857142857,8.869059468055847,113.80196932323099,-58904.62449467755,-4983.4285714285725,113.80196932323099,-63774.251096782886,63774.251096782886
1718,71.58333333333333,12.263703305156273,7.007142857142857,8.869059468055847,102.03205437963017,-55068.44827049978,-4983.4285714285725,102.03205437963017,-59949.84478754872,59949.84478754872
1719,71.625,12.4,7.007142857142857,8.869059468055847,83.30882354599984,-53760.0,-4983.4285714285725,83.30882354599984,-58660.11974788257,58660.11974788257
1720,71.66666666666667,12.263703305156273,7.007142857142857,8.869059468055847,58.90823406204999,-55068.44827049978,-4983.4285714285725,58.90823406204999,-59992.9686078663,59992.9686078663
1721,71.70833333333333,11.864101615137756,7.007142857142857,8.869059468055847,30.493145777231167,-58904.62449467755,-4983.4285714285725,30.493145777231167,-63857.55992032889,63857.55992032889
1722,71.75,11.22842712474619,7.007142857142857,8.869059468055847,1.4428356057502527e-14,-65007.099602436574,-4983.4285714285725,1.4428356057502527e-14,-69990.52817386514,69990.52817386514
1723,71.79166666666667,10.4,7.007142857142857,8.869059468055847,0.0,-72960.0,-4983.4285714285725,0.0,-77943.42857142858,77943.42857142858
1724,71.83333333333333,9.435276180410083,7.007142857142857,8.869059468055847,0.0,-82221.3486680632,-4983.4285714285725,0.0,-87204.77723949178,87204.77723949178
1725,71.875,8.4,7.007142857142857,8.869059468055847,0.0,-92160.0,-4983.4285714285725,0.0,-97143.42857142858,97143.42857142858
1726,71.91666666666667,7.364723819589917,7.007142857142857,8.869059468055847,0.0,-102098.6513319368,-4983.4285714285725,0.0,-107082.07990336537,107082.07990336537
1727,71.95833333333333,6.400000000000001,7.007142857142857,8.869059468055847,0.0,-111359.99999999999,-4983.4285714285725,0.0,-116343.42857142855,116343.42857142855
1728,72.0,4.40588745030457,6.821428571428571,8.923134407783184,0.0,-130503.48047707613,-5067.619047619048,0.0,-135571.09952469516,135571.09952469516
1729,72.04166666666667,3.643078061834694,6.821428571428571,8.923134407783184,0.0,-137826.45060638693,-5067.619047619048,0.0,-142894.069654006,142894.069654006
1730,72.08333333333333,3.1635560338124717,6.821428571428571,8.923134407783184,0.0,-142429.86207540028,-5067.619047619048,0.0,-147497.48112301933,147497.48112301933
1731,72.125,3.0,6.821428571428571,8.923134407783184,0.0,-144000.0,-5067.619047619048,0.0,-149067.61904761905,149067.61904761905
1732,72.16666666666667,3.1635560338124726,6.821428571428571,8.923134407783184,0.0,-142429.86207540028,-5067.619047619048,0.0,-147497.48112301933,147497.48112301933
1733,72.20833333333333,3.643078061834694,6.821428571428571,8.923134407783184,0.0,-137826.45060638693,-5067.619047619048,0.0,-142894.069654006,142894.069654006
1734,72.25,4.405887450304572,6.821428571428571,8.923134407783184,0.0,-130503.48047707611,-5067.619047619048,0.0,-135571.09952469516,135571.09952469516
1735,72.29166666666667,5.4,6.821428571428571,8.923134407783184,0.0,-120960.0,-5067.619047619048,0.0,-126027.61904761905,126027.61904761905
1736,72.33333333333333,6.557668583507901,6.821428571428571,8.923134407783184,0.0,-109846.38159832415,-5067.619047619048,0.0,-114914.0006459432,114914.0006459432
1737,72.375,7.8,6.821428571428571,8.923134407783184,0.0,-97920.0,-5067.619047619048,0.0,-102987.61904761905,102987.61904761905
1738,72.41666666666667,9.0423314164921,6.821428571428571,8.923134407783184,0.0,-85993.61840167583,-5067.619047619048,0.0,-91061.23744929489,91061.23744929489
1739,72.45833333333333,10.2,6.821428571428571,8.923134407783184,0.0,-74880.0,-5067.619047619048,0.0,-79947.61904761905,79947.61904761905
1740,72.5,11.194112549695427,6.821428571428571,8.923134407783184,0.0,-65336.519522923896,-5067.619047619048,0.0,-70404.13857054294,70404.13857054294
1741,72.54166666666667,11.956921938165305,6.821428571428571,8.923134407783184,0.0,-58013.54939361307,-5067.619047619048,0.0,-63081.16844123212,63081.16844123212
1742,72.58333333333333,12.436443966187529,6.821428571428571,8.923134407783184,0.0,-53410.13792459972,-5067.619047619048,0.0,-58477.75697221877,58477.75697221877
1743,72.625,12.6,6.821428571428571,8.923134407783184,0.0,-51840.0,-5067.619047619048,0.0,-56907.619047619046,56907.619047619046
1744,72.66666666666667,12.436443966187529,6.821428571428571,8.923134407783184,0.0,-53410.13792459972,-5067.619047619048,0.0,-58477.75697221877,58477.75697221877
1745,72.70833333333333,11.956921938165305,6.821428571428571,8.923134407783184,0.0,-58013.54939361307,-5067.619047619048,0.0,-63081.16844123212,63081.16844123212
1746,72.75,11.194112549695427,6.821428571428571,8.923134407783184,0.0,-65336.519522923896,-5067.619047619048,0.0,-70404.13857054294,70404.13857054294
